Gene,C3,C5,C7,T3,T4,T5
Foxk2,1947,1312,1560,1307,1428,1089
Wdr45b,1242,930,1105,1001,1120,671
Rab40b,20,30,21,23,37,19
Mir7236,0,0,0,0,0,0
Fn3krp,243,203,274,234,213,142
Fn3k,10,11,7,10,19,8
Tbcd,2242,1487,1892,2040,2058,1793
Zfp750,432,195,256,396,442,146
B3gntl1,285,159,179,229,245,105
Metrnl,2597,1858,2274,1952,2196,2083
Ptchd3,0,0,0,0,0,0
Rab10os,250,158,189,252,299,154
Rab10,5762,3869,4593,4745,5221,2379
Gm26520,3,1,0,0,0,0
I920046F24Rik,3,0,0,0,0,0
Kif3c,116,78,106,94,144,99
1110002L01Rik,37,17,40,29,41,20
Asxl2,1407,882,1129,1463,1376,315
Dtnb,160,148,135,133,151,102
Dnmt3a,1795,1368,1365,1631,1792,983
Dnmt3aos,2,7,3,3,2,1
Pomc,4,6,13,5,4,2
Efr3b,149,132,78,80,156,54
Dnajc27,155,117,112,139,165,57
Adcy3,235,212,202,192,288,141
Cenpo,220,141,221,197,203,67
Ptrhd1,233,159,214,209,227,178
Ncoa1,2501,1597,2209,2121,2231,676
LOC105244649,0,1,3,4,0,1
Gm31938,0,0,0,0,2,0
Gm3625,28,21,23,23,25,8
Itsn2,2159,1360,1609,1936,1869,452
Fam228a,3,1,0,2,0,0
Fam228b,4,4,3,8,3,3
Pfn4,0,3,1,1,0,0
Sf3b6,1071,699,937,840,882,897
Fkbp1b,62,42,58,46,63,22
Wdcp,59,61,71,65,70,27
Mfsd2b,54,43,45,86,89,26
Ubxn2a,2904,1846,2228,2475,2707,704
Atad2b,1262,674,918,1136,1117,295
Klhl29,147,120,108,122,186,66
2810032G03Rik,22,5,13,11,14,9
1700101O22Rik,0,0,0,0,0,0
Apob,1796,1087,1692,2457,1296,572
Ldah,2547,1790,2179,2047,2315,518
Gdf7,25,24,19,21,15,19
Hs1bp3,587,438,506,598,685,431
Rhob,7569,5432,6207,7081,9608,7237
Slc7a15,10,17,11,31,29,11
Pum2,4553,2924,3611,4226,4219,956
Sdc1,8119,5045,5957,6570,6923,7828
Laptm4a,7537,5153,6334,6185,7032,3611
Matn3,0,0,0,0,0,0
Wdr35,95,95,94,107,118,29
Ttc32,180,101,152,170,160,142
1700022H16Rik,0,0,0,0,0,0
Osr1,128,177,135,114,162,75
Nt5c1b,6,0,2,2,0,0
Rdh14,730,510,532,651,663,523
Gm38407,2,1,1,0,0,0
7420701I03Rik,0,0,0,0,0,0
Kcns3,63,52,49,54,60,31
9530020I12Rik,7,4,6,0,2,1
Msgn1,0,0,0,0,0,0
Gen1,288,203,189,214,209,59
Smc6,1650,1063,1308,1408,1430,487
Mir7675,0,1,0,0,2,0
Vsnl1,14,4,3,5,8,1
4930511A02Rik,0,0,0,0,0,0
Rad51ap2,0,0,0,0,0,0
Tubb2a-ps2,0,0,0,0,0,0
Cyria,400,290,393,388,393,96
4921511I17Rik,1,0,0,0,0,0
Gm34637,0,0,0,0,0,0
Gm35155,0,0,0,0,0,0
Gm40271,0,0,0,0,0,0
Mycn,47,31,38,46,73,36
Ddx1,2722,1991,2580,2398,2436,787
Nbas,1858,1158,1444,1442,1312,781
Gm35725,0,0,0,0,0,0
Lratd1,106,70,69,92,112,51
Gm16497,0,0,0,0,0,0
4930448C13Rik,0,0,0,0,0,0
Trib2,175,157,158,195,188,71
Mir6387,2,0,0,0,0,0
Lpin1,485,293,425,443,562,300
Ntsr2,0,0,0,0,0,0
Greb1,322,213,212,303,336,93
E2f6,572,406,454,423,571,222
Rock2,5623,3611,4871,5256,4878,1309
Pqlc3,1070,711,883,1020,895,394
2410004P03Rik,9,6,5,6,13,2
Kcnf1,674,390,467,530,596,412
Pdia6,8893,5813,6856,5992,5629,2783
Atp6v1c2,0,3,4,0,3,1
Nol10,332,275,323,296,308,150
Mir3066,1,0,1,0,0,0
Odc1,5406,3958,4390,3840,3781,2170
Hpcal1,2565,1580,1944,2280,2433,1700
Gm9222,562,370,521,518,626,240
Zfp996,1,1,2,2,3,1
5730507C01Rik,135,83,154,103,129,47
Gm5784,54,41,45,49,45,33
1700030C10Rik,108,68,66,77,94,30
Asap2,1869,1183,1544,2003,1982,874
Itgb1bp1,232,196,234,205,236,121
Cpsf3,1670,1077,1331,1298,1400,495
Iah1,705,537,577,594,620,487
Adam17,1755,1276,1345,1379,1354,424
Ywhaq,4134,2807,3469,3036,3288,1228
Gm4419,20,8,8,14,14,1
Gm4425,0,0,1,2,0,0
Gm38538,10,2,5,2,9,1
2410018L13Rik,32,13,26,21,19,26
Gm20472,9,1,10,4,6,3
Gm17330,49,32,63,73,35,27
9030624G23Rik,83,54,92,79,90,44
Gm21297,118,63,89,132,91,33
Taf1b,158,105,130,135,156,69
Grhl1,83,64,85,62,53,39
Klf11,340,170,208,242,412,164
Cys1,90,65,72,117,242,92
Rrm2,1188,747,1025,673,619,429
2900060N12Rik,1,2,0,0,4,1
Mboat2,179,55,144,172,153,93
Kidins220,4188,2573,3209,3618,3728,804
Id2,535,374,517,514,592,347
Gm17746,0,0,0,0,0,0
Gm29687,0,0,0,0,0,0
4930480M12Rik,0,0,0,0,0,0
Gm29968,0,0,0,0,0,0
Rnf144a,99,121,84,96,104,28
4930549C15Rik,1,0,0,0,0,0
Mir6538,0,0,0,0,0,0
Rsad2,702,568,541,817,645,176
Cmpk2,978,707,913,1167,1053,562
4933409F18Rik,0,0,0,0,0,0
Gm20187,2,1,1,1,1,0
Gm9866,1,0,2,0,0,0
Sox11,6,2,4,2,3,3
