Gene,A11,A12,A13,A21,A22,A24,B11,B12,B22,B23
Gm26611,0,0,0,0,0,0,0,0,0,0
Gm2396,0,0,0,0,0,1,0,0,0,2
Bcl2a1a,108,64,33,124,62,48,54,94,174,114
Trim43b,0,0,5,0,1,4,0,3,0,10
4930579C12Rik,0,0,0,0,0,0,0,0,0,0
Bcl2a1b,302,331,226,410,316,262,233,492,394,542
Mthfs,470,446,361,372,725,307,373,452,548,508
Minar1,4,4,0,0,0,4,0,0,0,8
Tmed3,6390,6703,5841,4865,6948,4796,6769,7697,9147,6452
Ankrd34c,0,0,0,0,0,0,0,0,0,0
Mir184,0,0,0,0,0,0,0,0,0,0
4930524O08Rik,0,0,0,0,0,0,0,0,0,0
Rasgrf1,14,28,4,18,31,12,14,15,0,19
Ctsh,4146,4810,4249,3919,6078,3768,3741,5800,7181,5717
Morf4l1,13900,15161,11498,11942,20304,12322,12145,13121,15910,13172
Adamts7,670,786,395,1278,925,928,302,563,1537,927
Tbc1d2b,5176,4806,3310,3892,4546,4071,2964,4288,5206,4218
Gm28703,0,0,0,0,0,0,4,0,0,0
Zic1,0,0,0,0,0,0,0,0,0,0
Zic4,0,0,0,0,0,0,0,0,0,0
Plscr5,0,2,6,0,0,0,0,0,0,0
Plscr1,15274,15119,11285,11651,17811,12046,11542,13011,13032,11882
Mir6386,81,62,46,54,4,61,80,48,64,45
Plscr2,113,152,187,295,635,199,201,242,484,313
1700057G04Rik,31,90,75,29,0,64,107,86,97,44
Plscr4,640,1019,766,1206,1833,1013,777,893,1424,1348
B430319G15Rik,21,16,14,28,0,24,12,22,42,33
Plod2,833,1247,730,1731,2388,1244,673,1043,4010,2345
4933400C23Rik,0,0,0,0,0,0,0,0,0,0
1700034K08Rik,0,0,0,0,0,0,0,0,0,0
Gm31957,0,0,0,0,0,0,0,0,0,0
Dipk2a,3134,3502,2145,2623,4116,2611,2588,3251,3058,3237
Slc9a9,309,427,274,382,584,360,205,492,471,507
Mir7656,0,0,0,0,0,0,0,0,0,0
Chst2,564,578,440,566,852,458,270,642,738,824
U2surp,7670,7882,5151,5675,7787,6014,5958,5881,6296,5397
Paqr9,2,2,20,4,0,4,0,72,0,10
Pcolce2,96,84,140,34,98,24,56,86,176,162
Trpc1,223,311,181,210,378,230,140,184,572,388
Pls1,35140,34027,26169,21081,30075,22597,23149,23516,25005,20945
1700065D16Rik,0,3,0,1,0,1,2,7,0,4
Atr,2187,2181,1324,1497,2384,2041,1821,1840,2219,1616
Xrn1,4365,5512,3590,3306,6357,3803,3820,4126,5195,3808
Gk5,2182,2178,1216,945,1370,1500,1561,1484,1302,1133
Tfdp2,4245,4459,2766,2666,6100,3525,3773,3782,4132,3240
Atp1b3,5763,7004,5276,5870,9625,5672,5844,6568,8804,7477
Rnf7,3719,4238,3186,3370,6167,3296,3872,4265,5008,3542
Gm28729,0,0,16,0,0,0,6,0,0,8
Rasa2,5288,5206,3834,3504,5040,4174,4265,4501,5133,4069
Zbtb38,1644,1417,495,791,368,1168,1196,1219,1312,700
E030011O05Rik,77,91,50,28,40,60,38,36,53,33
C430002N11Rik,10,40,7,29,0,19,9,17,44,15
Pxylp1,4460,4675,3444,2898,5892,3210,3870,4070,4991,3828
Spsb4,245,293,249,290,264,215,284,249,171,256
Slc25a36,2803,3479,1959,2188,2589,2377,2153,2490,3808,2209
Gm33302,9,26,14,20,46,28,4,2,34,30
Trim42,4,6,0,0,0,0,6,5,0,0
Clstn2,0,86,42,47,52,46,32,58,34,60
4921534H16Rik,0,0,0,0,0,0,0,0,0,0
