Gene,G11,G14,G15,G22,G24,G26,G27
Zfp975,142,112,145,103,108,129,94
Vmn2r62,0,0,0,0,0,0,0
Gm2381,0,0,0,0,0,0,0
Vmn2r63,0,0,0,0,0,0,0
Vmn2r126,0,0,0,1,0,0,0
Gm17768,0,0,0,0,0,0,0
Zfp936,0,0,0,0,0,0,0
EU599041,0,1,0,0,0,0,0
Gm35588,0,1,0,0,0,0,0
Zfp715,377,498,614,528,446,514,454
Siglecf,99,40,55,34,40,38,80
Siglecg,71,66,165,20,21,78,25
Gm38999,0,0,0,0,0,0,0
Lim2,0,0,0,0,0,0,0
Nkg7,26,15,32,15,9,12,26
Cldnd2,1,1,5,6,3,3,0
Etfb,2103,2450,3856,2071,1934,1844,2583
Mir7051,7,7,4,3,3,2,8
Vsig10l,144,129,164,112,125,145,153
Iglon5,31,44,45,16,5,6,12
4931406B18Rik,0,2,0,0,0,0,0
Gm2511,0,0,1,0,0,0,0
Cd33,34,49,89,44,49,52,30
Zfp658,58,70,107,50,58,92,61
Zfp719,160,215,216,170,168,157,182
Zfp819,0,0,0,1,0,1,1
Ceacam18,180,173,354,255,201,293,226
Siglece,42,29,67,29,25,27,30
Ctu1,271,364,614,279,287,283,290
Klk14,1,4,8,8,0,1,4
Klk13,0,1,1,0,0,0,0
2310002F09Rik,0,0,0,1,0,0,0
Klk12,0,0,0,0,2,0,0
Klk11,0,1,2,0,1,0,0
Klk10,11,3,12,4,1,3,2
Klk9,3,1,1,1,1,0,0
Klk8,16,23,39,15,11,10,20
Klk7,0,0,0,0,0,0,0
Klk6,0,0,0,0,0,0,0
Klk5,0,0,0,0,0,0,0
Klk4,0,0,0,0,0,0,0
Klk15,30,5,24,61,76,94,56
Klk1b7-ps,0,0,2,2,1,1,0
Klk1b8,0,0,0,0,0,0,0
Klk1b1,0,0,0,0,0,0,0
Klk1b9,0,0,0,1,0,0,0
Klk1b11,2,1,1,1,1,1,1
Klk1b26,0,0,0,0,0,0,0
Egfbp2,0,0,0,0,0,0,0
Klk1b27,0,0,0,0,0,0,1
Klk1b21,1,0,0,2,0,0,2
Klk1b22,3,0,0,2,0,0,0
Klk1b16,6,3,3,0,1,0,2
Klk1b24,1,2,8,0,0,0,0
Klk1b3,0,1,4,10,0,4,0
Klk1b4,18,15,35,13,12,22,6
Klk1b5,21,20,42,31,21,23,17
Klk1,29046,25404,45901,26675,24372,22720,22607
1700028J19Rik,39,57,67,40,32,34,34
Gm36864,15,22,23,11,13,22,25
2410002F23Rik,1218,1816,2404,1294,1148,1759,1511
Snord88c,12,3,25,2,10,12,11
Snord88a,0,0,3,2,1,0,5
Acp4,0,0,0,0,0,0,0
Gm15517,1,0,0,0,0,1,0
Gm18905,0,0,0,0,0,0,0
Clec11a,52,64,123,35,32,45,35
Shank1,53,73,100,21,23,28,29
1700008O03Rik,4,4,15,6,5,3,2
Syt3,16,19,41,26,22,26,10
Lrrc4b,20,33,10,4,4,0,1
Aspdh,1,1,0,0,0,1,1
Josd2,356,527,945,406,319,299,436
Mir7052,7,4,14,2,1,3,6
5430431A17Rik,5,3,6,2,1,0,0
Emc10,2387,2615,4624,2187,1781,1930,2369
Fam71e1,25,26,58,28,14,53,21
Mybpc2,4,10,21,0,0,6,10
Spib,435,317,670,208,176,264,196
Pold1,572,839,1628,550,591,489,621
Mir7053,1,0,0,0,0,0,0
Nr1h2,2091,2284,4095,1970,1857,2333,2323
Napsa,58,60,203,39,42,74,26
Myh14,15002,16864,26252,17640,17157,18249,24128
2310016G11Rik,52,38,70,36,29,30,33
Izumo2,0,0,0,0,0,0,0
Zfp473,35,16,47,21,22,22,13
Vrk3,969,957,1643,807,751,914,879
Atf5,381,606,916,492,377,461,519
Nup62,1004,1057,1723,887,915,839,888
Il4i1b,3,3,2,2,3,3,10
